market_id,platform,category,open_ts,close_ts,outcome,predicted,signal_offset_ms,bid_side,bid_price,shares,filled,queue_ahead_at_place,fill_time_ms,correct,realistic_pnl,naive_pnl,ref_price_open,ref_price_close
btc-updown-5m-1771855500,polymarket,btc,1771855500,1771855800,YES,NO,6320,NO,0.49,10.0,true,0.0,49416,false,-4.9,-4.9,66189.66,66252.6
btc-updown-5m-1771855800,polymarket,btc,1771855800,1771856100,NO,YES,6524,YES,0.49,10.0,true,1866.97,7912,false,-4.9,-4.9,66252.6,66249.36
btc-updown-15m-1771856100,polymarket,btc,1771856100,1771857000,NO,YES,-28088,YES,0.49,10.0,true,179.78,54723,true,0.1999999999999993,0.1999999999999993,66253.21,66086.27
btc-updown-5m-1771856100,polymarket,btc,1771856100,1771856400,NO,YES,6637,YES,0.49,10.0,true,0.0,40539,true,0.1999999999999993,0.1999999999999993,66225.95,66121.55
eth-updown-15m-1771856100,polymarket,eth,1771856100,1771857000,NO,YES,6569,YES,0.49,10.0,true,0.0,85974,true,0.1999999999999993,0.1999999999999993,66225.95,66095.0
sol-updown-15m-1771856100,polymarket,sol,1771856100,1771857000,NO,,6787,,0.49,10.0,false,0.0,,false,0.0,0.0,66225.94,66086.26
xrp-updown-15m-1771856100,polymarket,xrp,1771856100,1771857000,NO,YES,6101,YES,0.49,10.0,true,0.0,17662,true,0.1999999999999993,0.1999999999999993,66249.36,66095.0
btc-updown-5m-1771856400,polymarket,btc,1771856400,1771856700,NO,YES,5889,YES,0.49,10.0,true,0.0,47439,true,0.1999999999999993,0.1999999999999993,66112.54,66067.7
btc-updown-5m-1771856700,polymarket,btc,1771856700,1771857000,YES,YES,5961,YES,0.49,10.0,true,1288.78,50093,true,0.1999999999999993,0.1999999999999993,66067.7,66086.27
btc-updown-15m-1771857000,polymarket,btc,1771857000,1771857900,NO,YES,16406,YES,0.49,10.0,true,0.0,39331,true,0.1999999999999993,0.1999999999999993,66086.26,65855.3
btc-updown-5m-1771857000,polymarket,btc,1771857000,1771857300,NO,YES,16374,YES,0.49,10.0,true,0.0,45221,true,0.1999999999999993,0.1999999999999993,66055.76,65939.64
eth-updown-15m-1771857000,polymarket,eth,1771857000,1771857900,NO,YES,16469,YES,0.49,10.0,true,0.0,60404,true,0.1999999999999993,0.1999999999999993,66086.26,65849.39
sol-updown-15m-1771857000,polymarket,sol,1771857000,1771857900,NO,YES,16441,YES,0.49,10.0,true,419.6,32056,false,-4.9,-4.9,66055.76,65849.39
xrp-updown-15m-1771857000,polymarket,xrp,1771857000,1771857900,NO,YES,16502,YES,0.49,10.0,true,274.73,66304,true,0.1999999999999993,0.1999999999999993,66086.26,65859.18
btc-updown-5m-1771857300,polymarket,btc,1771857300,1771857600,NO,YES,5833,YES,0.49,10.0,true,0.0,86781,true,0.1999999999999993,0.1999999999999993,65927.74,65836.87
btc-updown-5m-1771857600,polymarket,btc,1771857600,1771857900,YES,YES,6113,YES,0.49,10.0,true,388.74,50007,true,0.1999999999999993,0.1999999999999993,65854.16,65861.42
btc-updown-15m-1771857900,polymarket,btc,1771857900,1771858800,YES,YES,6108,YES,0.49,10.0,true,2358.67,48140,true,0.1999999999999993,0.1999999999999993,65845.04,65923.53
btc-updown-5m-1771857900,polymarket,btc,1771857900,1771858200,NO,YES,6277,YES,0.49,10.0,true,67.43,37877,true,0.1999999999999993,0.1999999999999993,65855.3,65647.44
eth-updown-15m-1771857900,polymarket,eth,1771857900,1771858800,YES,YES,6837,YES,0.49,10.0,true,2644.03,8477,true,0.1999999999999993,0.1999999999999993,65855.31,65923.53
sol-updown-15m-1771857900,polymarket,sol,1771857900,1771858800,YES,YES,5725,YES,0.49,10.0,true,92.22,60074,true,0.1999999999999993,0.1999999999999993,65855.3,65923.53
xrp-updown-15m-1771857900,polymarket,xrp,1771857900,1771858800,YES,YES,5804,YES,0.49,10.0,true,149.5,77343,true,0.1999999999999993,0.1999999999999993,65845.04,65947.54
btc-updown-5m-1771858200,polymarket,btc,1771858200,1771858500,YES,YES,-28361,YES,0.49,10.0,true,303.95,25798,true,5.1,5.1,65725.39,65966.85
btc-updown-5m-1771858500,polymarket,btc,1771858500,1771858800,YES,YES,6346,YES,0.49,10.0,true,179.61,30560,true,0.1999999999999993,0.1999999999999993,65965.44,66000.01
btc-updown-15m-1771858800,polymarket,btc,1771858800,1771859700,YES,YES,5881,YES,0.49,10.0,true,73.84,54508,true,0.1999999999999993,0.1999999999999993,65937.62,65958.25
btc-updown-5m-1771858800,polymarket,btc,1771858800,1771859100,NO,YES,-28770,YES,0.49,10.0,true,7.0,34910,true,0.1999999999999993,0.1999999999999993,65908.0,65738.11
eth-updown-15m-1771858800,polymarket,eth,1771858800,1771859700,YES,YES,5995,YES,0.49,10.0,true,129.84,28725,true,0.1999999999999993,0.1999999999999993,65937.62,65945.54
sol-updown-15m-1771858800,polymarket,sol,1771858800,1771859700,YES,YES,5733,YES,0.49,10.0,true,42.22,8411,true,0.1999999999999993,0.1999999999999993,65937.62,65945.54
xrp-updown-15m-1771858800,polymarket,xrp,1771858800,1771859700,YES,YES,5952,YES,0.49,10.0,true,0.0,58813,true,0.1999999999999993,0.1999999999999993,65937.62,65948.41
